,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g
339,10.7,3.57,0.00937,0.00857,28.6,60.7,10.7,0.5
340,7.1,7.14,0.0,0.0,25.0,64.29,3.57,0.286
341,0.0,0.0,0.0,0.0525,7.5,85.0,55.0,0.0
342,0.55,0.0,0.0,0.0,3.78,84.1,63.0,0.0252
343,2.791305795431052,7.5054788666454115,0.0007682122314571278,0.03303264557251909,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073
344,0.0,0.1,0.0008699999999999999,0.005,0.05,0.45,0.2,0.0196850393700787
345,0.0,21.6,0.0,0.0,12.7,0.0,0.0,0.06
346,1.9,1.3,0.0002825,0.0006675,0.8,63.6,50.2,0.0039370078740157
347,1.9,1.3,0.0002825,0.0006675,0.8,63.6,50.2,0.0039370078740157
348,1.9,1.3,0.0002825,0.0006675,0.8,63.6,50.2,0.0039370078740157
349,1.9,1.3,0.0002825,0.0006675,0.8,63.6,50.2,0.0039370078740157
350,0.0,1.3,1.9725e-05,0.0006675,0.8,63.6,50.2,0.0039370078740157
351,4.1,1.6,0.00022625,0.021175,8.85,4.275,3.3,0.0039370078740157
